66,83,49,54,delta
4587,5456,4098,4621,delta
54,110,48,55,delta
65,69,47,53,delta
270,229,251,291,delta
971,1069,636,807,delta
113,106,92,124,delta
86,95,83,108,delta
48,71,38,29,delta
1222,1080,653,810,delta
5435,6073,3632,3748,delta
82,82,55,63,delta
962,1061,642,815,delta
73,89,41,49,delta
116,121,95,85,delta
5146,5604,3804,4249,delta
72,83,39,55,delta
73,76,42,64,delta
169,206,135,147,delta
2932,3644,2326,1808,delta
174,177,143,160,delta
80,94,53,58,delta
1007,1114,632,787,delta
2523,3163,2436,2723,delta
1037,1163,638,741,delta
1222,1080,653,810,delta
70,81,44,54,delta
163,178,148,165,delta
82,96,52,46,delta
61,102,47,51,delta
84,75,43,53,delta
5223,5745,3933,4023,delta
163,188,134,172,delta
