1004,1440,876,832,alpha
179,248,167,162,alpha
5482,6631,4458,3298,alpha
199,298,135,112,alpha
374,291,254,233,alpha
5114,6779,4596,3500,alpha
58,105,42,47,alpha
1006,1440,875,831,alpha
159,250,146,129,alpha
161,259,132,123,alpha
1005,1442,875,830,alpha
3289,4355,2714,1900,alpha
5561,7329,4423,3486,alpha
172,233,145,140,alpha
161,258,132,124,alpha
2907,4123,2951,2358,alpha
163,253,128,116,alpha
152,222,158,149,alpha
407,295,332,292,alpha
5135,7073,4725,3545,alpha
6937,9317,6397,5382,alpha
407,295,332,292,alpha
1082,1321,884,829,alpha
5516,7057,4455,3260,alpha
3274,4338,2733,1926,alpha
179,220,149,139,alpha
180,207,120,114,alpha
176,255,141,118,alpha
5029,6867,4683,3767,alpha
373,284,306,339,alpha
173,253,122,112,alpha
72,89,51,37,alpha
5023,6993,4473,3403,alpha
152,222,158,149,alpha
411,299,319,297,alpha
5031,6868,4681,3766,alpha
339,295,253,271,alpha
87,100,70,61,alpha
3102,4351,2741,2053,alpha
1204,1416,874,823,alpha
5540,7040,4398,3365,alpha
411,296,320,299,alpha
5029,6868,4683,3766,alpha
1279,1433,876,756,alpha
157,256,133,129,alpha
209,263,136,127,alpha
5117,7035,4556,3542,alpha
152,222,158,149,alpha
5094,7263,4542,3285,alpha
912,1241,727,642,alpha
165,220,153,143,alpha
385,275,260,229,alpha
154,262,133,129,alpha
5029,6864,4684,3769,alpha
152,222,158,149,alpha
383,290,259,277,alpha
353,307,255,255,alpha
5025,6840,4707,3774,alpha
5029,6866,4683,3768,alpha
72,91,33,41,alpha
1054,1397,898,851,alpha
152,222,158,149,alpha
56,87,41,46,alpha
222,265,166,136,alpha
970,1455,891,812,alpha
161,258,132,124,alpha
5028,6867,4683,3768,alpha
411,296,320,299,alpha
161,258,132,124,alpha
54,89,44,41,alpha
299,309,267,253,alpha
89,168,78,79,alpha
385,303,256,280,alpha
411,296,320,299,alpha
998,1428,877,849,alpha
345,303,246,255,alpha
325,335,246,264,alpha
970,1455,891,812,alpha
152,222,158,149,alpha
411,296,320,299,alpha
58,89,41,43,alpha
67,89,49,44,alpha
156,245,157,126,alpha
58,89,41,43,alpha
59,95,36,44,alpha
52,130,59,47,alpha
144,264,140,121,alpha
1005,1444,874,829,alpha
5025,6839,4708,3774,alpha
5031,6868,4683,3764,alpha
222,259,180,128,alpha
5029,6866,4684,3767,alpha
5030,6865,4682,3769,alpha
321,306,266,283,alpha
161,258,132,124,alpha
1006,1442,874,830,alpha
161,258,132,124,alpha
152,222,158,149,alpha
411,297,319,299,alpha
52,130,59,47,alpha
1055,1456,798,810,alpha
161,258,132,124,alpha
78,117,58,53,alpha
1004,1441,876,831,alpha
1005,1449,871,827,alpha
90,86,47,50,alpha
58,89,41,43,alpha
411,296,320,299,alpha
109,174,91,91,alpha
257,270,175,135,beta
180,133,135,152,beta
8956,9600,5858,5489,beta
400,265,280,315,beta
400,265,280,315,beta
400,265,280,315,beta
5612,6923,4580,4122,beta
1124,1271,704,723,beta
171,213,139,146,beta
225,276,153,174,beta
64,66,30,29,beta
150,127,89,99,beta
6424,6890,4230,3744,beta
108,118,61,79,beta
35,42,19,21,beta
6426,6892,4228,3745,beta
225,276,153,174,beta
3874,4518,2964,2009,beta
1125,1271,703,723,beta
6425,6892,4229,3745,beta
225,276,153,174,beta
101,133,66,64,beta
171,213,139,146,beta
171,213,139,146,beta
35,42,19,21,beta
101,134,67,64,beta
68,66,26,26,beta
49,92,42,45,beta
101,134,67,64,beta
68,66,26,26,beta
6426,6892,4230,3743,beta
108,118,61,79,beta
400,265,280,315,beta
6425,6892,4229,3745,beta
171,213,139,146,beta
1067,1735,679,590,beta
6425,6893,4229,3744,beta
225,276,153,174,beta
5787,7718,4723,3060,beta
35,42,19,21,beta
163,260,127,113,beta
31,57,12,23,beta
68,66,26,26,beta
400,265,280,315,beta
108,118,61,79,beta
174,224,154,135,beta
108,118,61,79,beta
6425,6894,4227,3740,beta
49,92,42,45,beta
224,299,237,158,beta
61,65,43,23,beta
49,92,42,45,beta
400,265,280,315,beta
68,66,26,26,beta
35,42,19,21,beta
5702,6544,4808,4494,beta
108,118,61,79,beta
8952,9593,5863,5489,beta
364,288,266,318,beta
6425,6892,4230,3744,beta
1180,1360,778,675,beta
1125,1271,703,723,beta
1124,1271,704,723,beta
5702,6544,4808,4494,beta
108,118,61,79,beta
400,265,280,315,beta
35,42,19,21,beta
171,213,139,146,beta
68,66,26,26,beta
68,66,26,26,beta
6425,6890,4230,3746,beta
170,284,122,96,beta
225,276,153,174,beta
6425,6894,4229,3743,beta
225,278,151,174,beta
108,118,61,79,beta
35,42,19,21,beta
225,276,153,174,beta
1179,1362,784,668,beta
35,42,19,21,beta
6424,6892,4231,3744,beta
1026,1252,736,766,beta
108,118,61,79,beta
6425,6893,4229,3744,beta
68,66,26,26,beta
1124,1271,703,724,beta
86,95,67,82,beta
101,133,67,65,beta
108,118,61,79,beta
6426,6893,4228,3744,beta
101,134,67,64,beta
1125,1272,703,722,beta
171,213,139,146,beta
165,200,153,148,beta
97,110,69,54,beta
202,245,137,109,beta
171,213,139,146,beta
399,256,271,331,beta
35,42,19,21,beta
1125,1271,703,723,beta
62,117,38,32,beta
225,276,153,174,beta
6425,6893,4230,3743,beta
225,276,153,174,beta
225,276,153,174,beta
1125,1271,703,723,beta
61,107,57,30,beta
49,92,42,45,beta
49,92,42,45,beta
5453,6421,3717,3270,delta
66,83,49,54,delta
174,177,143,160,delta
161,127,136,179,delta
950,1051,649,821,delta
88,97,55,48,delta
331,238,221,260,delta
180,189,123,165,delta
79,94,37,36,delta
159,133,133,178,delta
92,84,49,69,delta
80,93,54,58,delta
5078,5393,3848,4508,delta
51,83,47,53,delta
73,89,41,49,delta
288,220,232,289,delta
229,280,150,148,delta
80,93,54,58,delta
80,108,63,76,delta
158,132,134,179,delta
270,229,251,291,delta
69,80,44,56,delta
74,83,41,51,delta
189,187,130,145,delta
91,76,39,52,delta
158,132,134,179,delta
189,187,130,145,delta
927,1025,708,994,delta
79,94,37,36,delta
315,246,211,260,delta
5987,5835,3464,3557,delta
70,81,44,54,delta
1055,1426,608,556,delta
54,110,48,55,delta
306,250,233,255,delta
4587,5456,4098,4621,delta
306,250,233,255,delta
5418,6763,3637,2809,delta
69,80,44,56,delta
5462,6174,3596,3563,delta
68,103,46,32,delta
83,95,48,47,delta
988,1154,719,778,delta
950,1051,649,821,delta
74,76,41,58,delta
67,86,44,52,delta
315,246,211,260,delta
5146,5599,3806,4253,delta
107,121,69,75,delta
66,83,49,54,delta
66,95,61,69,delta
5146,5599,3806,4253,delta
51,67,40,43,delta
84,75,43,53,delta
5453,6421,3717,3270,delta
116,121,95,85,delta
85,91,55,57,delta
82,97,49,54,delta
72,83,39,55,delta
288,220,232,289,delta
5210,6281,3915,3215,delta
971,1069,636,807,delta
